Domain,Capability,Assessment,Criteria1,Criteria2
Security,Physical Security Risk Management,"The bank performs a cybersecurity information governance maturity assessment. This maturity assessment method adopts the methodology of office cat. In addition, the bank also performs an iso27001 risk assessment and adopts the iso27001 risk assessment methodology (information asset and legal compliance internal external issues assessment).","Comprehensive Controls for Risk Management: The structure and methodologies used for physical security risk management, including risk assessment and mitigation strategies. Integration with Organizational Risk Management: The benefits of integrating physical security risks into the broader organizational risk management framework, enhancing overall risk management effectiveness. Regular Drills and Simulations: Insights gained from regular drills and simulations testing physical security risk responses, influencing security strategies and preparedness./Comprehensive physical security risk management controls are implemented, ensuring a strategic approach to identifying and mitigating physical security threats./","Comprehensive Controls for Risk Management: The structure and methodologies used for physical security risk management, including risk assessment and mitigation strategies. Integration with Organizational Risk Management: The benefits of integrating physical security risks into the broader organizational risk management framework, enhancing overall risk management effectiveness. Regular Drills and Simulations: Insights gained from regular drills and simulations testing physical security risk responses, influencing security strategies and preparedness./Comprehensive physical security risk management controls are implemented, ensuring a strategic approach to identifying and mitigating physical security threats./"
Security,Disaster Recovery,Remote backup is automatically switched and the system operates normally in a very short time.,"Automation in Disaster Recovery Coordination: The impact of automation on disaster recovery efficiency and effectiveness, including specific tools and processes used. Shared Responsibility Model: The structure and benefits of a shared responsibility model in disaster recovery planning, emphasizing collaboration and accountability. Integration with Business Continuity: The coherence between disaster recovery methods and the overall business continuity plan, ensuring a unified approach to organizational resilience./The organization leverages automation and a shared responsibility model to coordinate disaster recovery activities and methods, enhancing resilience and response capabilities./","Automation in Disaster Recovery Coordination: The impact of automation on disaster recovery efficiency and effectiveness, including specific tools and processes used. Shared Responsibility Model: The structure and benefits of a shared responsibility model in disaster recovery planning, emphasizing collaboration and accountability. Integration with Business Continuity: The coherence between disaster recovery methods and the overall business continuity plan, ensuring a unified approach to organizational resilience./The organization leverages automation and a shared responsibility model to coordinate disaster recovery activities and methods, enhancing resilience and response capabilities./"
Security,"Logging, Monitoring, and Alerting",Purchase monitoring software and continue monitoring to ensure that problems can be detected in time and responded quickly to reduce risks and minimize damage. The computer room operates 24 hours a day and has monitoring software automation equipment. The computer room has automated monitoring software equipment,"Continuous Monitoring for Operational Continuity: The contribution of 24x7 real-time monitoring to incident detection and organizational resilience, including specific monitoring strategies and technologies. Automated Response Mechanisms: The role of automation in enhancing incident response times and security operation efficiencies, detailing specific automated response actions. Log and Alert Consolidation: Management and analysis strategies for logs and alerts across mission-critical systems, ensuring effective and timely security incident responses./Operational continuity is enriched through 24x7 and real-time monitoring and insights. Automated responses to alert conditions improve resolution turnaround time and efficiencies./","Continuous Monitoring for Operational Continuity: The contribution of 24x7 real-time monitoring to incident detection and organizational resilience, including specific monitoring strategies and technologies. Automated Response Mechanisms: The role of automation in enhancing incident response times and security operation efficiencies, detailing specific automated response actions. Log and Alert Consolidation: Management and analysis strategies for logs and alerts across mission-critical systems, ensuring effective and timely security incident responses./Operational continuity is enriched through 24x7 and real-time monitoring and insights. Automated responses to alert conditions improve resolution turnaround time and efficiencies./"
Security,Penetration Testing,"Issue a document to investigate and refer to the information on the waf. In addition, when purchasing systems or services, each unit must fill in the information security project inspection form and describe the procurement project. If it provides external services, it also needs to be completed.","Enriched Testing Approaches: The variety and depth of penetration testing approaches employed to ensure comprehensive coverage, including the use of automated tools and manual testing techniques. Out-of-Cycle Testing Opportunities: The process for identifying and executing additional testing opportunities, contributing to continuous security assessment and improvement. Integration with Security Assessments: The synergy between penetration testing and regular security assessments, highlighting the continuous loop of testing, feedback, and enhancement./The organization develops enriched testing approaches to improve coverage and addresses out-of-cycle testing opportunities. This proactive approach reduces risk by identifying and addressing vulnerabilities effectively./","Enriched Testing Approaches: The variety and depth of penetration testing approaches employed to ensure comprehensive coverage, including the use of automated tools and manual testing techniques. Out-of-Cycle Testing Opportunities: The process for identifying and executing additional testing opportunities, contributing to continuous security assessment and improvement. Integration with Security Assessments: The synergy between penetration testing and regular security assessments, highlighting the continuous loop of testing, feedback, and enhancement./The organization develops enriched testing approaches to improve coverage and addresses out-of-cycle testing opportunities. This proactive approach reduces risk by identifying and addressing vulnerabilities effectively./"
Security,Problem & Incident Mgmt.,"There is an emergency response team, and the customer service center will notify the information department and business management personnel as soon as possible. If it is judged that there is a problem with the system, the customer service staff will notify the computer room immediately, and the computer room will then notify the information personnel. If it is a major incident that damages the rights and interests of customers and the sound operation of the bank, the standard procedures for reporting major incidents will be followed by the cooperative bank commercial banks. Handle key points. The computer room and customer service center will have a list of relevant industry management the customer service center will notify the computer room staff for confirmation as soon as possible. The computer room personnel will notify the person in charge of the system if it is determined that there is a system problem and it continues to occur, the customer service center will notify the business management personnel. If it is a major incident (which will cause damage to the customer's rights and interests), it will be handled in accordance with the bank's key points for handling standard procedures for notifying major incidents by cooperative treasury commercial banks “for information security incidents, the bank has established an ""information security emergency response team"" with an ""incident investigation team"" and an ""incident response implementation team"" under its jurisdiction. It also has a team with the financial holding parent company to regularly implement information security incident response.","Cross-Functional Team Coordination: The effectiveness of coordinating cross-functional teams in managing and resolving incidents, including specific coordination mechanisms and success stories. Automation-Driven Efficiencies: The impact of automation on incident response processes, detailing specific automated actions and the resulting improvements in response times and resolution effectiveness. Response Testing and Certification: The insights and improvements gained from conducting response testing and certification through simulations, enhancing the organization's preparedness and response strategies./Risk is reduced through the coordination of cross-functional teams and a well-defined shared responsibility model. Automation drives efficiencies in response, and response testing and certification are driven by deliberate simulations./","Cross-Functional Team Coordination: The effectiveness of coordinating cross-functional teams in managing and resolving incidents, including specific coordination mechanisms and success stories. Automation-Driven Efficiencies: The impact of automation on incident response processes, detailing specific automated actions and the resulting improvements in response times and resolution effectiveness. Response Testing and Certification: The insights and improvements gained from conducting response testing and certification through simulations, enhancing the organization's preparedness and response strategies./Risk is reduced through the coordination of cross-functional teams and a well-defined shared responsibility model. Automation drives efficiencies in response, and response testing and certification are driven by deliberate simulations./"
Security,Threat & Vulnerability Mgmt.,"The order of patching is determined based on the medium, medium, and low risk vulnerabilities produced by the scanning system itself, and systems that provide external services are given priority over internal ones. According to regulations determine high, medium, and low risk according to the built-in rules of the tool. Determine medium, medium, and low risk according to the built-in rules of the tool","Risk-Based Prioritization: The methodology for assessing and prioritizing threats and vulnerabilities based on risk levels, including the criteria used for prioritization. End-to-End Process Measurement: The approach to measuring and analyzing threat and vulnerability management processes, focusing on acceleration of response times and risk reduction. Focus on Accelerating Response Times: Strategies and technologies employed to ensure quick and effective responses to identified threats and vulnerabilities, enhancing the organization's security posture./Risk-based prioritization and end-to-end process measurement, combined with trend analysis, are used to accelerate time to value and reduce risk. This comprehensive approach ensures effective threat and vulnerability management./","Risk-Based Prioritization: The methodology for assessing and prioritizing threats and vulnerabilities based on risk levels, including the criteria used for prioritization. End-to-End Process Measurement: The approach to measuring and analyzing threat and vulnerability management processes, focusing on acceleration of response times and risk reduction. Focus on Accelerating Response Times: Strategies and technologies employed to ensure quick and effective responses to identified threats and vulnerabilities, enhancing the organization's security posture./Risk-based prioritization and end-to-end process measurement, combined with trend analysis, are used to accelerate time to value and reduce risk. This comprehensive approach ensures effective threat and vulnerability management./"
Operations,API Security,Use https and source ip control the connection is encrypted and both parties have certificate authorization. The connection has an encryption mechanism and both parties have a voucher mechanism. The connection is authenticated and encrypted,"Techniques for Data Protection: Listen for specific methods such as encryption, tokenization, API gateways, rate limiting, and access controls. Quality of Service Improvement: Metrics like latency, throughput, error rates, and user feedback mechanisms should be mentioned. Security Measures Implementation: Details about authentication, authorization, input validation, and regular security assessments are key.","Techniques for Data Protection: Listen for specific methods such as encryption, tokenization, API gateways, rate limiting, and access controls. Quality of Service Improvement: Metrics like latency, throughput, error rates, and user feedback mechanisms should be mentioned. Security Measures Implementation: Details about authentication, authorization, input validation, and regular security assessments are key."
Operations,Change Enablement,Evaluate scores based on the change impact analysis table.,"Inclusion of All Changes: Effectiveness of change management process.Automated Emergency Change Logging: Management and tracking contributions.Documented Test Plans for Normal Changes: Impact on success rates. / All technology changes regardless of origination are included in the change enablement practice. From documentation of approved ""Standard"" change activities, automated logging of ""Emergency"" changes, and documented validation of all ""Normal"" change test plans, Change Enablement is jointly focused on auditability and optimization. /","Inclusion of All Changes: Effectiveness of change management process.Automated Emergency Change Logging: Management and tracking contributions.Documented Test Plans for Normal Changes: Impact on success rates. / All technology changes regardless of origination are included in the change enablement practice. From documentation of approved ""Standard"" change activities, automated logging of ""Emergency"" changes, and documented validation of all ""Normal"" change test plans, Change Enablement is jointly focused on auditability and optimization. /"
Operations,Incident Response & Management,Automatic monitoring software and alert messages there is automatic monitoring software and alarm messages purchase event monitoring software to ensure timely identification of events to reduce risk provide tool automatic detection and alarm functions,"Automated Detection and Alerting: Improvement in response times.Automated Communication for Incident Management: Efficiency and effectiveness in management.Formal Swarming Protocol for High Severity: Impact on resolving high severity incidents. /Incidents are detected using monitoring tools and alerts are automatically sent and entered into Incident Management tool. Basic communication is automated for team routing and management awareness. Escalation is automated based on category priority and documented resolution times. There is a formal ""swarming"" protocol established for high severity priorities when expected resolution times are not met. /","Automated Detection and Alerting: Improvement in response times.Automated Communication for Incident Management: Efficiency and effectiveness in management.Formal Swarming Protocol for High Severity: Impact on resolving high severity incidents. /Incidents are detected using monitoring tools and alerts are automatically sent and entered into Incident Management tool. Basic communication is automated for team routing and management awareness. Escalation is automated based on category priority and documented resolution times. There is a formal ""swarming"" protocol established for high severity priorities when expected resolution times are not met. /"
Operations,Operating Model,Specialization,"Distributed Cross-functional Teams: Contribution to productivity and flexibility.Shift in Traditional Infrastructure Roles: Enhancement in product delivery and management.Technology Business Office Role: Facilitation of team structuring and efficiency. /""Distributed"" cross functional teams are becoming the more common operating model. These distributed teams continue to take on more of the traditional infrastructure roles as they deliver in a product focus manner. The TBO plays an integral role in defining standards and patterns that enables teams to be structured in a distributed manner. /","Distributed Cross-functional Teams: Contribution to productivity and flexibility.Shift in Traditional Infrastructure Roles: Enhancement in product delivery and management.Technology Business Office Role: Facilitation of team structuring and efficiency. /""Distributed"" cross functional teams are becoming the more common operating model. These distributed teams continue to take on more of the traditional infrastructure roles as they deliver in a product focus manner. The TBO plays an integral role in defining standards and patterns that enables teams to be structured in a distributed manner. /"
Operations,Service Catalog Management,Sla and ola enhance the practicality and relevance of service catalogs,Support for All Infrastructure Patterns: Enhancement of service catalog utility.Exception Approval Process for Custom Services: Maintenance of standards and efficiency.Real-time Reporting for Compliance: Aid in maintaining accuracy and currency. /The service catalog moves towards supporting all infrastructure patterns and only through an exception approval process are custom services allowed. Real-time reporting is in place to validate compliance and avoid drift. /,Support for All Infrastructure Patterns: Enhancement of service catalog utility.Exception Approval Process for Custom Services: Maintenance of standards and efficiency.Real-time Reporting for Compliance: Aid in maintaining accuracy and currency. /The service catalog moves towards supporting all infrastructure patterns and only through an exception approval process are custom services allowed. Real-time reporting is in place to validate compliance and avoid drift. /
Operations,Service Configuration Management ,Automatically collect configuration settings using auto discovery the ministry of information has a CMDB every time a system service is added or changed CMDB will be updated manually(1) maintain the accuracy and validity of configuration component data in the configuration management database.(2) ensure that configuration components are changed according to the specifications of the configuration control process.(3) provide information services with configuration component attributes and correlation information related to each process activity.,CMDB/CMS as Authoritative Source: Improvement in configuration management.Inclusion of Cloud Configuration Items: Enhancement of completeness and accuracy.Reconciliation for Completeness and Need: Contribution to effectiveness. /THE CMDB or CMS is THE authoritative source for all configuration items. All cloud configuration items are included. Use cases and content are being reconciled to validate completeness and need for CIs. /,CMDB/CMS as Authoritative Source: Improvement in configuration management.Inclusion of Cloud Configuration Items: Enhancement of completeness and accuracy.Reconciliation for Completeness and Need: Contribution to effectiveness. /THE CMDB or CMS is THE authoritative source for all configuration items. All cloud configuration items are included. Use cases and content are being reconciled to validate completeness and need for CIs. /
Operations,Supplier Management,"(1) for all partners related to the information services provided by this department, maintain the security of the department's information assets and risk assessment of data exchange through specific control measures and appropriately defining relationships with external third parties.(2) through the conduct of partner management review activities, we ensure that information assets can be truly protected during information outsourcing and third-party access, partner vendors can be effectively managed, and the service level agreement agreed with customers can be met.",Centralized Supplier Management Program: Consistency and efficiency in supplier dealings.Supplier Tiers Establishment: Effectiveness of supplier management strategy.Consistent Approach in Supplier Management: Improvement in relationships and negotiations. /Supplier management program brings consistency based on establishing supplier tiers. /,Centralized Supplier Management Program: Consistency and efficiency in supplier dealings.Supplier Tiers Establishment: Effectiveness of supplier management strategy.Consistent Approach in Supplier Management: Improvement in relationships and negotiations. /Supplier management program brings consistency based on establishing supplier tiers. /
Applications,Design Patterns,"Application development systems must be equipped with cloud architecture, and program developers must re-understand related technologies to improve performance.","Influence on Quality and Efficiency: Listen for examples of how design patterns improve code reusability, maintainability, and application performance.Process and Impact of Updating: Details about the review cycle for design patterns, including how outdated or insecure patterns are identified and the impact of updates on projects./Integrates identification and evaluation of Design Patterns into new application designs, fostering an architecture that considers cost implications and promotes sustainable development practices./","Influence on Quality and Efficiency: Listen for examples of how design patterns improve code reusability, maintainability, and application performance.Process and Impact of Updating: Details about the review cycle for design patterns, including how outdated or insecure patterns are identified and the impact of updates on projects./Integrates identification and evaluation of Design Patterns into new application designs, fostering an architecture that considers cost implications and promotes sustainable development practices./"
Applications,Reference Architecture,"At present, the bank is developing a middle platform design method. Systems in specific fields are required to use specified technical standards for design and development. This method allows it personnel to be more focused and familiar with the corresponding technical standards and methods. Contribute to project development and maintenance operations.at present, there are middle platform standards for planning different businesses services modules and other related technologies, which can be used in new projects to improve efficiency and avoid the same problems.","Contribution to IT Projects: Examples of how reference architectures ensure security, sustainability, and deployment efficiency.Update Process: The process for keeping architectures updated with technological and cost objectives, including frequency and criteria for updates. /Develops and utilizes secure, sustainable reference architectures for workload implementation, ensuring alignment with cost objectives and inclusion of ESG engineering principles./","Contribution to IT Projects: Examples of how reference architectures ensure security, sustainability, and deployment efficiency.Update Process: The process for keeping architectures updated with technological and cost objectives, including frequency and criteria for updates. /Develops and utilizes secure, sustainable reference architectures for workload implementation, ensuring alignment with cost objectives and inclusion of ESG engineering principles./"
Applications,Virtualization (Virtual Machines),"The construction and allocation of system environment and resources can be managed more efficiently, which can effectively save the costs related to environmental processing in the entire system construction operation, so that the relevant costs can be used more for the design and development of business functions.","Standardization and Centralization Benefits: How these practices aid in workload management and deployment.Automation and Orchestration Tools: Examples demonstrating enhancements in resource usage, scalability, and the overall virtualization strategy.","Standardization and Centralization Benefits: How these practices aid in workload management and deployment.Automation and Orchestration Tools: Examples demonstrating enhancements in resource usage, scalability, and the overall virtualization strategy."
Applications,Collaboration,"The assistance part has a large number of implementation cases. Different teams on the program side have formulated communication methods, such as specification review, information review, online coordination, project management and other procedures. On the technical side, cooperation platforms such as api, esb, and shared platforms have been established. Contribute to the execution of collaborative projects.","Cross-Collaborative Problem-Solving: Success stories demonstrating significant improvements or innovations resulting from collaboration.Communication Plan Impact: Details on how the plan facilitates cross-departmental collaboration and enhances project outcomes. /Encourages cross-collaborative problem-solving across teams and departments, supported by a standard communication plan and policies to enhance organizational synergy./","Cross-Collaborative Problem-Solving: Success stories demonstrating significant improvements or innovations resulting from collaboration.Communication Plan Impact: Details on how the plan facilitates cross-departmental collaboration and enhances project outcomes. /Encourages cross-collaborative problem-solving across teams and departments, supported by a standard communication plan and policies to enhance organizational synergy./"
Applications,Staffing (Skill Modeling/Inventory),Regular backup drills ensure business continuity and operational resilience,"Redundancy Contribution: How skillset redundancy supports business continuity and operational resilience.Succession Plans Impact: Implementation details and the effect of succession planning on organizational continuity. /Ensures redundancy in critical application skillsets, facilitating effective succession planning and skill tracking through a centralized management system./","Redundancy Contribution: How skillset redundancy supports business continuity and operational resilience.Succession Plans Impact: Implementation details and the effect of succession planning on organizational continuity. /Ensures redundancy in critical application skillsets, facilitating effective succession planning and skill tracking through a centralized management system./"
Applications,Business Continuity,"In terms of operational continuity, the bank follows iso20000, 27001, 22301 and other relevant standards.","Centralizing Impact Assessments: The enhancement of business continuity planning through centralized tracking.Application-Specific Details: How including these details strengthens business continuity strategy. /Maintains a centralized repository for impact assessments, ensuring application-specific details are cataloged for comprehensive business continuity planning./","Centralizing Impact Assessments: The enhancement of business continuity planning through centralized tracking.Application-Specific Details: How including these details strengthens business continuity strategy. /Maintains a centralized repository for impact assessments, ensuring application-specific details are cataloged for comprehensive business continuity planning./"
Applications,SLAs/SLOs,"The bank currently follows iso20000, 27001, 22301 and other relevant standards. Confirm whether sla targets are met through regular review of records quarterly management meetings regularly review whether the goals set by sla & slo are achieved vendors are requested to follow these guidelines when purchasing projects and make announcements when application system updates are released. The business management issues an exception notification sheet to record abnormal conditions, and the information department holds meetings to review and improve regularly. There will be an exception notification sheet, and the information department will have regular meetings to review. The abnormal notification sheet is reviewed by the information department at regular meetings.","Culture of Ownership: Impact on application development and maintenance.Documented Pattern Assistance: How patterns support achieving SLA/SLO objectives. /Cultivates a culture of ownership among development teams, ensuring understanding and documentation of SLA/SLO patterns, and integrating these standards into post-project evaluations./","Culture of Ownership: Impact on application development and maintenance.Documented Pattern Assistance: How patterns support achieving SLA/SLO objectives. /Cultivates a culture of ownership among development teams, ensuring understanding and documentation of SLA/SLO patterns, and integrating these standards into post-project evaluations./"
Applications,Automation,"My understanding is that there should be a framework first, and then there should be a standardized process procedure system under the framework, and then automation can be introduced. Rather than having a process program in place, ensure that the imported framework can be benchmarked. Taking the development of rpa as an example, the design and development will be based on reframe work. Through this framework, the process will be logically divided into init, get transaction data, process transaction, and end process, so that program development can be more efficient and without omissions.","Processes and Procedures Impact: The influence of guidelines on automation efficiency and effectiveness.Standards on Automation Approach: Examples showing how developed standards shape automation practices and tool selection. /Adopts established processes and standards for automation, integrating compliance reporting and aligning infrastructure deployment with automation standards./","Processes and Procedures Impact: The influence of guidelines on automation efficiency and effectiveness.Standards on Automation Approach: Examples showing how developed standards shape automation practices and tool selection. /Adopts established processes and standards for automation, integrating compliance reporting and aligning infrastructure deployment with automation standards./"
Applications,Operating Model,Let professionals do specialized work,"Distributed Team Benefits: Enhancements in product focus and organizational efficiency due to cross-functional teams.TBO's Role: The influence of TBO on team structures and effectiveness. /Fosters ""distributed"" cross-functional teams with a focus on customer-centric principles, leveraging external partnerships and cloud strategies to streamline operations and service delivery./","Distributed Team Benefits: Enhancements in product focus and organizational efficiency due to cross-functional teams.TBO's Role: The influence of TBO on team structures and effectiveness. /Fosters ""distributed"" cross-functional teams with a focus on customer-centric principles, leveraging external partnerships and cloud strategies to streamline operations and service delivery./"
Applications,Modern Coding Practices,"At present, the bank is developing a middle platform design method. Systems in specific fields are required to use specified technical standards for design and development. This method allows it personnel to be more focused and familiar with the corresponding technical standards and methods. Contribute to project development and maintenance operations. Developers work together to follow the same coding standards to avoid information gaps causing difficulties during business handover.","Automated Testing and Strategy Impact: Effects on software quality and reliability.Influence of Coding Standards: How adherence to standards has shaped development practices and outcomes. /Advocates for a comprehensive development framework, incorporating automated testing, agile methodologies, coding standards, and frequent code reviews for quality assurance./","Automated Testing and Strategy Impact: Effects on software quality and reliability.Influence of Coding Standards: How adherence to standards has shaped development practices and outcomes. /Advocates for a comprehensive development framework, incorporating automated testing, agile methodologies, coding standards, and frequent code reviews for quality assurance./"
Applications,Release Management,"This part is currently a semi-automated process in our bank. There are manual procedures for program entry, testing, inspection, qa and other operations. However, most of the online operations have been automated through tfs tools. The most important benefit should be to reduce this some human impact risks. Reduce manual work errors and improve printing efficiency","Automated Program Use: The improvement in deployment speed and reliability due to automation.Benefits of High Automation Rate: Observed advantages from automating the majority of software releases. /Enables automated and streamlined release management processes, with a focus on increasing deployment automation and reducing release frequencies for optimized delivery./","Automated Program Use: The improvement in deployment speed and reliability due to automation.Benefits of High Automation Rate: Observed advantages from automating the majority of software releases. /Enables automated and streamlined release management processes, with a focus on increasing deployment automation and reducing release frequencies for optimized delivery./"
Innovation,CSP Newest Capabilities (Cloud Technologies),"Working with hpe consultants by cooperating with hpe, consultants will help organizations introduce cloud technology; learn about peers' cloud progress through news media, and then learn and find relevant information on their own. Participate in relevant education and training view related articles seminars and related courses attended work with consultants and receive training from learning institutions","Active Integration: Management of new cloud technology integration.Discovery and Learning Process: Approach to incorporating new technologies. /The organization proactively leverages the latest cloud technologies, guided by robust learning and discovery programs, with metrics to track the successful integration of new cloud features./","Active Integration: Management of new cloud technology integration.Discovery and Learning Process: Approach to incorporating new technologies. /The organization proactively leverages the latest cloud technologies, guided by robust learning and discovery programs, with metrics to track the successful integration of new cloud features./"
Innovation,Defined Innovation Vision and Strategy,"Communicate to different departments through consensus camps and chief executive meetings meeting announcements and classes through consensus camps for senior executives and the whole bank, as well as meetings hosted by the head, the core concepts are conveyed to senior executives and colleagues within the bank. Through regular meetings, we will deepen each department understanding of the cloud vision and strategy. Digital development council and its working groups through high-level meetings deliver and promote through meetings through education and training through education and training through education and training communicated from senior management meetings to department heads senior executive support convene a consensus camp for all departments and branches to express our cloud vision","Clearly Defined Strategy: Communication and departmental understanding of innovation strategy.Executive Buy-in: Examples of strategic alignment and execution. /A clearly established innovation vision and strategy exist, fully supported by executive buy-in and understood across various departments, ensuring a unified approach to innovation./","Clearly Defined Strategy: Communication and departmental understanding of innovation strategy.Executive Buy-in: Examples of strategic alignment and execution. /A clearly established innovation vision and strategy exist, fully supported by executive buy-in and understood across various departments, ensuring a unified approach to innovation./"
Innovation,Innovation Feedback Loop,"Through the feedback mechanism, the overall system and functional operation can be closer to reality and comply with regulations. The project regularly tracks the implementation progress. If there is a gap with the implementation target, improvements need to be made immediately; after the project is completed, it is still necessary to collect user feedback, evaluate and optimize system functions to comply with specifications while also making the user experience smoother. Observe what users need and how developers can satisfy users. Rather than what developers can do, it is provided for users to use.in regular meeting increase cross-departmental discussions","Integration of Feedback Loop: Use of insights to improve innovation functions.Daily Operations and Meetings: Examples of feedback loop integration and impact. /A closed feedback loop is integrated into daily operations and meetings, leveraging data insights to continuously refine and improve innovation functions./","Integration of Feedback Loop: Use of insights to improve innovation functions.Daily Operations and Meetings: Examples of feedback loop integration and impact. /A closed feedback loop is integrated into daily operations and meetings, leveraging data insights to continuously refine and improve innovation functions./"
Innovation,Evaluation Program for Start-ups and Incubators,"After formulating the mid- and long-term plans, regularly evaluate whether the current implementation methods need to be adjusted to meet and achieve the mid- and long-term goals. Evaluate the organization's innovative ideas and invite industry executives and professional consultants to participate in discussions to ensure they are in line with the organization's future strategies and standards. With the current joint participation method and participants, it is indeed impossible to fully ensure that the evaluation process can be effectively benchmarked.","Departmental Involvement: Alignment with investment strategies.Evaluation Process: Organizational approach to startup evaluation. /Multiple departments engage in evaluating startups for investment, with a structured investment program and criteria ensuring strategic and profitable selections./","Departmental Involvement: Alignment with investment strategies.Evaluation Process: Organizational approach to startup evaluation. /Multiple departments engage in evaluating startups for investment, with a structured investment program and criteria ensuring strategic and profitable selections./"
Innovation,Employee Innovation Ideas Capture (Discovery),"Internal reward mechanism the work simplification team regularly solicits work simplification plans, and the selected plans will receive bonuses.","Centralized Idea Capture: Management and encouragement of employee ideas.Idea Management Process: Approach to fostering innovation among teams. /A centralized idea capturing tool is in place, encouraging regular idea sharing among localized teams, fostering a culture of innovation and collaboration./","Centralized Idea Capture: Management and encouragement of employee ideas.Idea Management Process: Approach to fostering innovation among teams. /A centralized idea capturing tool is in place, encouraging regular idea sharing among localized teams, fostering a culture of innovation and collaboration./"
Innovation,Evaluate and Incubate Ideas from all Sources,"Invite external experts and internal executives to jointly select first, professional consultants are used to evaluate the technical feasibility, and the business management unit is asked to evaluate the business feasibility, regulatory compliance, and introduction benefits of the proposal. The relevant information is then provided to the executive, who makes the final choice. Provide current practice taking colab as an example, cross-department members may communicate and vote. The final results are then presented to senior managers.","Formalized Evaluation Criteria: Process for idea evaluation and selection.Recurring Evaluation Sessions: Examples of idea selection and incubation. /Formalized criteria for idea evaluation are implemented, with monthly sessions to nurture and select innovative ideas, ensuring a continuous pipeline of creativity./","Formalized Evaluation Criteria: Process for idea evaluation and selection.Recurring Evaluation Sessions: Examples of idea selection and incubation. /Formalized criteria for idea evaluation are implemented, with monthly sessions to nurture and select innovative ideas, ensuring a continuous pipeline of creativity./"
Innovation,Design Thinking and Lean Hypothesis Development Creative Agility,"Invite users to conduct interviews and provide details of the entire process. After development, conduct user testing and adjust non-compliant functions to meet expectations.","Use of Design Thinking: Incorporation of customer empathy in development.Hypothesis Testing Process: Examples of lean hypothesis application in projects. /Customer-facing applications are developed based on deep customer empathy, with rigorous hypothesis testing and metrics to validate outcomes, ensuring products truly meet customer needs./","Use of Design Thinking: Incorporation of customer empathy in development.Hypothesis Testing Process: Examples of lean hypothesis application in projects. /Customer-facing applications are developed based on deep customer empathy, with rigorous hypothesis testing and metrics to validate outcomes, ensuring products truly meet customer needs./"
Innovation,Formalized Organizational Focus,No unified guiding principles regular follow-up reports from the digital development committee regular follow-up reports from the digital development committee regular follow-up reports from the digital development committee seminar,"Designated Innovation Managers: Utilization of principles and roadmaps for innovation.Innovation Management: Examples of achieving innovation objectives. /Multiple managers across the organization are dedicated to innovation, guided by unified principles, visions, and roadmaps to drive operational success./","Designated Innovation Managers: Utilization of principles and roadmaps for innovation.Innovation Management: Examples of achieving innovation objectives. /Multiple managers across the organization are dedicated to innovation, guided by unified principles, visions, and roadmaps to drive operational success./"
Innovation,Innovation is Funded,"Through the internal budget preparation method, budget execution status reports, follow-up procurement project progress reports, and introduction of benefits, etc., it is ensured that the use of funds is in line with the internal planning. Innovative activities supported by the head of government make full use of funds through budget preparation, budget execution status, regular reporting on the implementation progress after the project is launched, and continuous tracking of benefits after completion. The budget is prepared and reviewed every year. After review, it is implemented according to the schedule. The budget is prepared and reviewed every year. After review, it is implemented according to the schedule. The budget is prepared and reviewed every year. After review, it is implemented according to the schedule.","Regular Funding Allocation: Structure and use of funding for innovation.Support for Innovative Activities: Examples of funding impact on innovation. /Innovation receives generous funding across most business units, supporting a wide range of innovative activities and fostering a culture of creativity and experimentation./","Regular Funding Allocation: Structure and use of funding for innovation.Support for Innovative Activities: Examples of funding impact on innovation. /Innovation receives generous funding across most business units, supporting a wide range of innovative activities and fostering a culture of creativity and experimentation./"